,1core,,,,,,
,,,,,,,
,None,GZIP,BZIP2,LZMA,ZSTD,Random,Adaptive
80Mbps,89.4,33.8,84.5,44.2,37.8,44,34.4
40Mbps,165.6132814884,46.6144740582,85,46.8,50.7,52.2,48.1
20Mbps,314.6555485725,83.9622468948,90.3422396183,68.2919661999,83.3449566364,73.1,71.4
10Mbps,626.0870316029,162.4628400803,122.1251935959,129.9046738148,167.6034221649,147.4,114.4
,,,,,,,
,2core,,,,,,
,,,,,,,
,None,GZIP,BZIP2,LZMA,ZSTD,Random,Adaptive
80Mbps,90.65,34.8,44.5,31.96,34.5,30.7,28.5
40Mbps,166.7,44.6,51.1,39.9,46,50.9,39.2
20Mbps,314.5548057556,82.5602066517,64.7690961361,67.3088698387,82.2382583618,68.8,62
10Mbps,626.4071643353,162.5612008572,121.8338897228,129.7767879963,160.900708437,142.35,116.6
,,,,,,,
,4core,,,,,,
,,,,,,,
,None,GZIP,BZIP2,LZMA,ZSTD,Random,Adaptive
80Mbps,93.6,34,35.7,35.55,36.3,34.15,34.3
40Mbps,158.7,47.2,43.6,41.9,48.9,42.2,40.5
20Mbps,314.5387322903,86.2591724396,63.8312892914,68.7833218575,84.0655245781,78.15,60.9
10Mbps,626.0638773441,165.5541024208,120.7305123806,130.9400713444,162.0753338337,144,113.2
